Fine - NNS
Gabi - NN
Good - JJ
Hapon - NN
He-She - PRP
His-Her - PRP$
I Love You - NN
I-Me - PRP
Mine - PRP
Tanghali - NN
Umaga - NN
You - PRP
Your - PRP$
Congratulations - NN
Great - JJ
Help - VB
Meet - VB
Table - NN
Name - NN
Occupation - NN
Pray - VB
Rest - VB
Pen - NN
Stand - VB
Study - VB
To - TO
Chair - NN
Invite - VB
Late - RB
No - DT
Our - PRP$
Sorry - JJ
That - DT
Them - PRP
This - DT
We - PRP
Welcome - NN 
When - WRB
Who - WP
Why - WRB
Yes - UH
Yesterday - NN
Ball - NN
Banana - NN, NNP, NN
Bread - NN
Break - NN
Bring - NN, VB, VB
Buy - VB
Bye - NN
Coconut - NN
Egg - NN
Coffee - NN
Come - VB
Cook - NN
From - IN
Get - VB
Go - VB
Happen - VB, VB, NN
How - WRB
Introduce - NN
Let - VB
Live - JJ
Mango - NN
Maybe - RB
Nice - JJ, NN, JJ
Now - RB, RB, NN
Office - NN
School - NN
Sit - NN
Store - NN
Strawberry - NN
Thank You - NN, [Thank - NN], [You - PRP, PRP, NN]
Today - NN
What - WP
Where - WRB
Which - WDT
Work - NN
